depth,station,insitu,gldas
2.5,27,NaN,NaN
2.5,27,733086.15255643,733083.822751902
2.5,27,733527.51364154,733489.259991774
2.5,27,733871.250012051,733874.640366563
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736446.340266671,736431.284344697
2.5,27,736754.999999751,736773.379862612
2.5,27,737172.999674386,737171.602024382
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,733865.745341139,733871.134379317
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,734913.560414422,734914.343114104
2.5,28,735258.548630973,735268.999999157
2.5,28,735672.325315541,735644.362827286
2.5,30,NaN,NaN
2.5,30,733073.850258175,733084.821363486
2.5,30,733559.2191444,733486.000012434
2.5,30,NaN,NaN
2.5,30,734260.999908669,734159.147400779
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,736438.861084063,736432.354329811
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,733097.532686223,733081.999947671
2.5,32,733462.765900619,733457.247100431
2.5,32,733873.498517519,733826.897212699
2.5,32,NaN,NaN
2.5,32,734465.94706491,734475.450346911
2.5,32,NaN,734914.653757114
2.5,32,735224.512856077,735208.927270724
2.5,32,735628.783881188,735643.762399009
2.5,32,NaN,NaN
2.5,32,736438.754334025,736427.640954605
2.5,32,736745.223732647,736750.686609649
2.5,32,737170.712942427,737166.721472803
2.5,35,NaN,NaN
2.5,35,733081.691445602,733080.999990401
2.5,35,733566.799019251,733481.542590572
2.5,35,NaN,NaN
2.5,35,734246.225686275,734157.999988712
2.5,35,NaN,NaN
2.5,35,734902.170547616,734915.619217603
2.5,35,735367.917314826,735269.999971114
2.5,35,735626.044993342,735645.350657368
2.5,35,NaN,NaN
2.5,35,736439.040705778,736423.4520641
2.5,35,NaN,NaN
2.5,35,737170.265661942,737143.018946404
10,1,NaN,NaN
10,1,731359.567440449,731233.413893196
10,1,731683.798040138,731666.122048867
10,1,732077.646613133,732074.777719901
10,1,732461.463980889,732461.229878195
10,1,732822.79924262,732751.113704717
10,1,733085.540618872,733091.772169161
10,1,733492.508058595,733483.999999885
10,1,733862.203721438,733867.226177395
10,1,734244.27283298,734153.997978424
10,1,734629.24257472,734497.437012365
10,1,734914.063156506,734914.317093674
10,1,735265.782307996,735268.280314589
10,1,735607.999997284,735643.057137483
10,1,NaN,NaN
10,1,736439.843691841,736429.577718154
10,1,736757.999998724,736771.203828741
10,1,737171.520646772,737169.678079886
