depth,station,insitu,gldas
2.5,27,732885.870015561,732889.133957467
2.5,27,733262.295156762,733262.223489127
2.5,27,733612.999964348,733618.341237123
2.5,27,733971.010539259,733993.328006638
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736588.999999588,736601.999999869
2.5,27,736861.598297982,736918.99995888
2.5,27,737257.498548332,737242.081045887
2.5,28,732927.187419725,NaN
2.5,28,NaN,NaN
2.5,28,733555.999946173,733606.744174319
2.5,28,733976.143937451,733994.864481229
2.5,28,NaN,NaN
2.5,28,734774.19239888,734743.00011275
2.5,28,735112.378499637,735097.094592644
2.5,28,735454.598657341,735481.501519896
2.5,28,735779.000000001,735834.505299504
2.5,30,733001.999999587,NaN
2.5,30,733257.232837341,733262.642983008
2.5,30,733624.000000148,733615.856717803
2.5,30,NaN,733994.178870574
2.5,30,734376.11460523,734436.302368105
2.5,30,734739.999999626,734739.908990651
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,735784.999999415,735829.607514335
2.5,30,NaN,NaN
2.5,30,736608.425624057,736607.514998581
2.5,30,NaN,NaN
2.5,30,737214.543287954,737209.234272723
2.5,32,NaN,732869.433104202
2.5,32,733245.624202135,733263.193837025
2.5,32,733623.000008228,733617.749797983
2.5,32,734027.986127586,734038.903136059
2.5,32,NaN,NaN
2.5,32,734737.999999683,734745.680056135
2.5,32,NaN,735000.59055819
2.5,32,NaN,735493.561335766
2.5,32,735776.999978729,735839.56882158
2.5,32,NaN,NaN
2.5,32,736608.650685704,736604.343418753
2.5,32,736837.505889653,736922.798621542
2.5,32,737247.999527972,737261.55217281
2.5,35,NaN,NaN
2.5,35,733252.544231056,733262.621522073
2.5,35,733660.395633648,733613.17029458
2.5,35,734094.999178681,734040.000019082
2.5,35,734389.999999858,734414.231306143
2.5,35,NaN,NaN
2.5,35,735100.379599166,735112.363239914
2.5,35,735448.879677756,735497.261181987
2.5,35,735787.68198598,735841.642657047
2.5,35,NaN,NaN
2.5,35,736621.34592948,736606.295304817
2.5,35,NaN,NaN
2.5,35,737255.335600219,737269.547002521
10,1,731167.771878697,731146.533672746
10,1,731405.475779659,731437.18853194
10,1,731833.515986389,731818.288651418
10,1,732205.018339391,732197.756364464
10,1,732570.199783814,732599.874061346
10,1,732890.999999536,732889.999999999
10,1,733249.589454318,733262.163210064
10,1,733643.482955558,733616.001891682
10,1,733971.000000484,733986.759548802
10,1,734392.999988361,734473.555297001
10,1,734737.999999513,734745.815965984
10,1,735108.417703692,735096.238076399
10,1,735456,735493.633502432
10,1,735782.999999904,735833.551053405
10,1,NaN,NaN
10,1,736594.999982089,736605.554441561
10,1,736924.999999821,736924.153222911
10,1,737250.000024479,737251.192806364
