depth,station,insitu,gldas
2.5,27,NaN,NaN
2.5,27,733236.000216155,733216.691672051
2.5,27,733539.313912889,733595.376215126
2.5,27,733943.161054812,733948.70632724
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736467.284250327,736494.286141884
2.5,27,736825.311556652,736816.17786347
2.5,27,737200.155245033,737197.931038087
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,733945.000038103,733952.225312642
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,734926.848488415,734931.000044279
2.5,28,735407.999999988,735412.759642801
2.5,28,735687.999964488,735694.516234196
2.5,30,NaN,NaN
2.5,30,733206.346389014,733210.999312471
2.5,30,733591.866885989,733589.999999869
2.5,30,NaN,NaN
2.5,30,734333.412470571,734308.941524866
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,736500.049300184,736493.677274314
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,733195.999833981,733218.915171268
2.5,32,733616.081574311,733593.102705208
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735638.570915066,735698.821260421
2.5,32,NaN,NaN
2.5,32,736507.694148597,736492.52592564
2.5,32,736783.574019133,736819.624741877
2.5,32,737197.406809307,737201.589338811
2.5,35,NaN,NaN
2.5,35,733223.001510579,733215.04588192
2.5,35,733599.628561076,733579.113204866
2.5,35,NaN,NaN
2.5,35,734335.069550233,734307.95329305
2.5,35,NaN,NaN
2.5,35,734928.532067333,734934.424770094
2.5,35,735379.983928497,735411.548591847
2.5,35,735762.000017899,735691.448192116
2.5,35,NaN,NaN
2.5,35,736506.643870878,736492.249862216
2.5,35,NaN,NaN
2.5,35,737227.999999976,737179.539066414
10,1,NaN,NaN
10,1,731371.047529648,731258.710720652
10,1,731814.319340434,731788.962058825
10,1,732113.801877259,732103.325779564
10,1,732491.91763575,732488.563223039
10,1,732870.000166979,732788.445491698
10,1,733201.855164913,733210.223643205
10,1,733609.999999586,733584.52230928
10,1,733934.239095039,733944.000014658
10,1,734338.573417242,734284.691998082
10,1,734739.00017337,734526.446991716
10,1,734928.311237472,734932.757393971
10,1,735415.581169808,735418.274438453
10,1,735750.953388895,735699.862440416
10,1,NaN,NaN
10,1,736499.991336475,736492.66026507
10,1,736831.348971778,736821.999906693
10,1,737199.130939277,737199.00339069
