depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,NaN,2012
5.000000,1,NaN,2013
5.000000,1,NaN,2014
5.000000,1,735776.000000,2015
5.000000,1,736304.000000,2016
5.000000,1,736691.000000,2017
5.000000,1,737108.000000,2018
5.000000,1,737429.000000,2019
5.000000,2,NaN,2012
5.000000,2,734867.000000,2013
5.000000,2,735271.000000,2014
5.000000,2,735626.000000,2015
5.000000,2,736018.000000,2016
5.000000,2,NaN,2017
5.000000,2,736799.000000,2018
5.000000,2,737074.000000,2019
5.000000,2,737481.000000,2020
5.000000,3,NaN,2012
5.000000,3,734869.000000,2013
5.000000,3,735212.000000,2014
5.000000,3,735627.000000,2015
5.000000,3,735893.000000,2016
5.000000,3,736313.000000,2017
5.000000,3,736724.000000,2018
5.000000,3,NaN,2019
5.000000,3,737482.000000,2020
5.000000,4,NaN,2012
5.000000,4,734794.000000,2013
5.000000,4,735290.000000,2014
5.000000,4,NaN,2015
5.000000,4,736004.000000,2016
5.000000,4,736275.000000,2017
5.000000,4,736780.000000,2018
5.000000,4,737117.000000,2019
5.000000,5,NaN,2012
5.000000,5,734771.000000,2013
5.000000,5,735265.000000,2014
5.000000,5,735475.000000,2015
5.000000,5,NaN,2016
5.000000,5,736267.000000,2017
5.000000,5,736723.000000,2018
5.000000,5,NaN,2019
5.000000,5,737324.000000,2020
5.000000,6,NaN,2010
5.000000,6,NaN,2011
5.000000,6,734680.000000,2012
5.000000,6,NaN,2013
5.000000,6,NaN,2014
5.000000,6,735772.000000,2015
5.000000,6,NaN,2016
5.000000,6,NaN,2017
5.000000,6,736865.000000,2018
5.000000,6,737414.000000,2019
5.000000,7,NaN,2011
5.000000,7,734423.000000,2012
5.000000,7,734798.000000,2013
5.000000,7,735207.000000,2014
5.000000,7,735545.000000,2015
5.000000,7,735922.000000,2016
5.000000,7,736307.000000,2017
5.000000,7,736676.000000,2018
5.000000,7,NaN,2019
5.000000,7,737481.000000,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,734850.000000,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,NaN,2016
5.000000,8,736245.000000,2017
5.000000,8,736698.000000,2018
5.000000,8,NaN,2019
5.000000,8,737326.000000,2020
5.000000,9,NaN,2012
5.000000,9,734855.000000,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,735975.000000,2016
5.000000,9,736252.000000,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,737327.000000,2020
5.000000,10,NaN,2011
5.000000,10,734556.000000,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,NaN,2015
5.000000,10,NaN,2016
5.000000,10,NaN,2017
5.000000,10,736717.000000,2018
5.000000,10,737055.000000,2019
5.000000,11,NaN,2012
5.000000,11,734858.000000,2013
5.000000,11,735221.000000,2014
5.000000,11,NaN,2015
5.000000,11,735914.000000,2016
5.000000,11,736297.000000,2017
5.000000,11,736708.000000,2018
5.000000,11,737066.000000,2019
5.000000,11,737458.000000,2020
5.000000,12,NaN,2011
5.000000,12,734549.000000,2012
5.000000,12,734837.000000,2013
5.000000,12,735319.000000,2014
5.000000,12,NaN,2015
5.000000,12,735869.000000,2016
5.000000,12,736246.000000,2017
5.000000,12,736685.000000,2018
5.000000,12,736947.000000,2019
5.000000,12,737329.000000,2020
5.000000,13,NaN,2010
5.000000,13,NaN,2011
5.000000,13,734695.000000,2012
5.000000,13,NaN,2013
5.000000,13,735404.000000,2014
5.000000,13,735801.000000,2015
5.000000,13,NaN,2016
5.000000,13,736543.000000,2017
5.000000,13,736853.000000,2018
5.000000,13,737212.000000,2019
5.000000,14,NaN,2012
5.000000,14,734760.000000,2013
5.000000,14,735177.000000,2014
5.000000,14,NaN,2015
5.000000,14,736027.000000,2016
5.000000,14,NaN,2017
5.000000,14,736767.000000,2018
5.000000,14,737165.000000,2019
5.000000,14,NaN,2020
5.000000,15,NaN,2011
5.000000,15,NaN,2012
5.000000,15,735212.000000,2013
5.000000,15,735545.000000,2014
5.000000,15,735890.000000,2015
5.000000,15,736260.000000,2016
5.000000,15,736703.000000,2017
5.000000,15,NaN,2018
5.000000,15,737382.000000,2019
5.000000,16,NaN,2011
5.000000,16,734465.000000,2012
5.000000,16,734907.000000,2013
5.000000,16,735202.000000,2014
5.000000,16,NaN,2015
5.000000,16,735922.000000,2016
5.000000,16,NaN,2017
5.000000,16,736737.000000,2018
5.000000,16,NaN,2019
5.000000,16,737456.000000,2020
5.000000,17,NaN,2010
5.000000,17,734282.000000,2011
5.000000,17,NaN,2012
5.000000,17,NaN,2013
5.000000,17,NaN,2014
5.000000,17,735808.000000,2015
5.000000,17,736252.000000,2016
5.000000,17,NaN,2017
5.000000,17,NaN,2018
5.000000,17,737305.000000,2019
5.000000,18,NaN,2011
5.000000,18,734419.000000,2012
5.000000,18,734925.000000,2013
5.000000,18,NaN,2014
5.000000,18,735629.000000,2015
5.000000,18,NaN,2016
5.000000,18,NaN,2017
5.000000,18,NaN,2018
5.000000,18,737092.000000,2019
5.000000,18,NaN,2020
5.000000,19,NaN,2010
5.000000,19,734294.000000,2011
5.000000,19,734683.000000,2012
5.000000,19,NaN,2013
5.000000,19,NaN,2014
5.000000,19,735821.000000,2015
5.000000,19,736221.000000,2016
5.000000,19,736571.000000,2017
5.000000,19,736893.000000,2018
5.000000,19,737271.000000,2019
5.000000,20,NaN,2012
5.000000,20,734866.000000,2013
5.000000,20,735205.000000,2014
5.000000,20,735671.000000,2015
5.000000,20,735939.000000,2016
5.000000,20,736307.000000,2017
5.000000,20,736687.000000,2018
5.000000,20,737027.000000,2019
5.000000,20,737544.000000,2020
5.000000,21,NaN,2012
5.000000,21,734794.000000,2013
5.000000,21,735113.000000,2014
5.000000,21,NaN,2015
5.000000,21,736073.000000,2016
5.000000,21,736334.000000,2017
5.000000,21,736706.000000,2018
5.000000,21,736951.000000,2019
5.000000,21,NaN,2020
5.000000,22,NaN,2010
5.000000,22,734010.000000,2011
5.000000,22,NaN,2012
5.000000,22,734769.000000,2013
5.000000,22,NaN,2014
5.000000,22,NaN,2015
5.000000,22,735983.000000,2016
5.000000,22,736246.000000,2017
5.000000,22,NaN,2018
5.000000,22,737090.000000,2019
5.000000,22,737328.000000,2020
5.000000,23,NaN,2010
5.000000,23,734130.000000,2011
5.000000,23,NaN,2012
5.000000,23,734931.000000,2013
5.000000,23,735266.000000,2014
5.000000,23,NaN,2015
5.000000,23,735902.000000,2016
5.000000,23,736346.000000,2017
5.000000,23,NaN,2018
5.000000,23,736990.000000,2019
5.000000,23,737409.000000,2020
5.000000,24,NaN,2010
5.000000,24,NaN,2011
5.000000,24,734702.000000,2012
5.000000,24,NaN,2013
5.000000,24,735402.000000,2014
5.000000,24,735774.000000,2015
5.000000,24,736250.000000,2016
5.000000,24,NaN,2017
5.000000,24,NaN,2018
5.000000,24,737261.000000,2019
5.000000,25,NaN,2012
5.000000,25,734856.000000,2013
5.000000,25,735137.000000,2014
5.000000,25,735651.000000,2015
