depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,NaN,2011
5.000000,1,NaN,2012
5.000000,1,NaN,2013
5.000000,1,735775.000000,2014
5.000000,1,736192.000000,2015
5.000000,1,736615.000000,2016
5.000000,1,737022.000000,2017
5.000000,1,737408.000000,2018
5.000000,2,NaN,2010
5.000000,2,734809.000000,2011
5.000000,2,735112.000000,2012
5.000000,2,735495.000000,2013
5.000000,2,735780.000000,2014
5.000000,2,NaN,2015
5.000000,2,736554.000000,2016
5.000000,2,736924.000000,2017
5.000000,2,737299.000000,2018
5.000000,3,NaN,2010
5.000000,3,734856.000000,2011
5.000000,3,735124.000000,2012
5.000000,3,735550.000000,2013
5.000000,3,735884.000000,2014
5.000000,3,736229.000000,2015
5.000000,3,736631.000000,2016
5.000000,3,NaN,2017
5.000000,3,737305.000000,2018
5.000000,4,NaN,2010
5.000000,4,734754.000000,2011
5.000000,4,735183.000000,2012
5.000000,4,NaN,2013
5.000000,4,735795.000000,2014
5.000000,4,736237.000000,2015
5.000000,4,736546.000000,2016
5.000000,4,736922.000000,2017
5.000000,5,NaN,2010
5.000000,5,734768.000000,2011
5.000000,5,735188.000000,2012
5.000000,5,735472.000000,2013
5.000000,5,NaN,2014
5.000000,5,736234.000000,2015
5.000000,5,736550.000000,2016
5.000000,5,NaN,2017
5.000000,5,737323.000000,2018
5.000000,6,NaN,2009
5.000000,6,NaN,2010
5.000000,6,734667.000000,2011
5.000000,6,NaN,2012
5.000000,6,NaN,2013
5.000000,6,735768.000000,2014
5.000000,6,NaN,2015
5.000000,6,NaN,2016
5.000000,6,736864.000000,2017
5.000000,6,737386.000000,2018
5.000000,7,NaN,2009
5.000000,7,734400.000000,2010
5.000000,7,734797.000000,2011
5.000000,7,735182.000000,2012
5.000000,7,735544.000000,2013
5.000000,7,735921.000000,2014
5.000000,7,736297.000000,2015
5.000000,7,736619.000000,2016
5.000000,7,NaN,2017
5.000000,7,737315.000000,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,734765.000000,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,736244.000000,2015
5.000000,8,736688.000000,2016
5.000000,8,NaN,2017
5.000000,8,737325.000000,2018
5.000000,9,NaN,2010
5.000000,9,734842.000000,2011
5.000000,9,NaN,2012
5.000000,9,NaN,2013
5.000000,9,735966.000000,2014
5.000000,9,736213.000000,2015
5.000000,9,NaN,2016
5.000000,9,NaN,2017
5.000000,9,737325.000000,2018
5.000000,10,NaN,2009
5.000000,10,734525.000000,2010
5.000000,10,NaN,2011
5.000000,10,NaN,2012
5.000000,10,NaN,2013
5.000000,10,NaN,2014
5.000000,10,NaN,2015
5.000000,10,736701.000000,2016
5.000000,10,737036.000000,2017
5.000000,11,NaN,2010
5.000000,11,734856.000000,2011
5.000000,11,735138.000000,2012
5.000000,11,NaN,2013
5.000000,11,735865.000000,2014
5.000000,11,736236.000000,2015
5.000000,11,736564.000000,2016
5.000000,11,736927.000000,2017
5.000000,11,737311.000000,2018
5.000000,12,NaN,2009
5.000000,12,734518.000000,2010
5.000000,12,734774.000000,2011
5.000000,12,735248.000000,2012
5.000000,12,NaN,2013
5.000000,12,735867.000000,2014
5.000000,12,736198.000000,2015
5.000000,12,736624.000000,2016
5.000000,12,736946.000000,2017
5.000000,12,737328.000000,2018
5.000000,13,NaN,2009
5.000000,13,NaN,2010
5.000000,13,734694.000000,2011
5.000000,13,NaN,2012
5.000000,13,735401.000000,2013
5.000000,13,735751.000000,2014
5.000000,13,NaN,2015
5.000000,13,736529.000000,2016
5.000000,13,736813.000000,2017
5.000000,13,737211.000000,2018
5.000000,14,NaN,2010
5.000000,14,734759.000000,2011
5.000000,14,735143.000000,2012
5.000000,14,NaN,2013
5.000000,14,735785.000000,2014
5.000000,14,NaN,2015
5.000000,14,736518.000000,2016
5.000000,14,736921.000000,2017
5.000000,14,NaN,2018
5.000000,15,NaN,2010
5.000000,15,NaN,2011
5.000000,15,735085.000000,2012
5.000000,15,735543.000000,2013
5.000000,15,735889.000000,2014
5.000000,15,736250.000000,2015
5.000000,15,736653.000000,2016
5.000000,15,NaN,2017
5.000000,15,737369.000000,2018
5.000000,16,NaN,2009
5.000000,16,734463.000000,2010
5.000000,16,734879.000000,2011
5.000000,16,735202.000000,2012
5.000000,16,NaN,2013
5.000000,16,735921.000000,2014
5.000000,16,NaN,2015
5.000000,16,736578.000000,2016
5.000000,16,NaN,2017
5.000000,16,737347.000000,2018
5.000000,17,NaN,2009
5.000000,17,734236.000000,2010
5.000000,17,NaN,2011
5.000000,17,NaN,2012
5.000000,17,NaN,2013
5.000000,17,735808.000000,2014
5.000000,17,736158.000000,2015
5.000000,17,NaN,2016
5.000000,17,NaN,2017
5.000000,17,737228.000000,2018
5.000000,18,NaN,2009
5.000000,18,734418.000000,2010
5.000000,18,734706.000000,2011
5.000000,18,NaN,2012
5.000000,18,735457.000000,2013
5.000000,18,NaN,2014
5.000000,18,NaN,2015
5.000000,18,NaN,2016
5.000000,18,736991.000000,2017
5.000000,18,NaN,2018
5.000000,19,NaN,2009
5.000000,19,734294.000000,2010
5.000000,19,734682.000000,2011
5.000000,19,NaN,2012
5.000000,19,NaN,2013
5.000000,19,735704.000000,2014
5.000000,19,736200.000000,2015
5.000000,19,736510.000000,2016
5.000000,19,736892.000000,2017
5.000000,19,737184.000000,2018
5.000000,20,NaN,2010
5.000000,20,734852.000000,2011
5.000000,20,735173.000000,2012
5.000000,20,735428.000000,2013
5.000000,20,735840.000000,2014
5.000000,20,736199.000000,2015
5.000000,20,736641.000000,2016
5.000000,20,736973.000000,2017
5.000000,20,737308.000000,2018
5.000000,21,NaN,2010
5.000000,21,734701.000000,2011
5.000000,21,735110.000000,2012
5.000000,21,NaN,2013
5.000000,21,735825.000000,2014
5.000000,21,736212.000000,2015
5.000000,21,736682.000000,2016
5.000000,21,736948.000000,2017
5.000000,21,NaN,2018
5.000000,22,NaN,2008
5.000000,22,734009.000000,2009
5.000000,22,NaN,2010
5.000000,22,734768.000000,2011
5.000000,22,NaN,2012
5.000000,22,NaN,2013
5.000000,22,735956.000000,2014
5.000000,22,736244.000000,2015
5.000000,22,NaN,2016
5.000000,22,737062.000000,2017
5.000000,22,737326.000000,2018
5.000000,23,NaN,2008
5.000000,23,734129.000000,2009
5.000000,23,NaN,2010
5.000000,23,734812.000000,2011
5.000000,23,735136.000000,2012
5.000000,23,NaN,2013
5.000000,23,735874.000000,2014
5.000000,23,736224.000000,2015
5.000000,23,NaN,2016
5.000000,23,736956.000000,2017
5.000000,23,737369.000000,2018
5.000000,24,NaN,2009
5.000000,24,NaN,2010
5.000000,24,734652.000000,2011
5.000000,24,NaN,2012
5.000000,24,735401.000000,2013
5.000000,24,735768.000000,2014
5.000000,24,736197.000000,2015
5.000000,24,NaN,2016
5.000000,24,NaN,2017
5.000000,24,737184.000000,2018
5.000000,25,NaN,2010
5.000000,25,734807.000000,2011
5.000000,25,735134.000000,2012
5.000000,25,735451.000000,2013
5.000000,25,735866.000000,2014
5.000000,25,736204.000000,2015
5.000000,25,NaN,2016
5.000000,25,736922.000000,2017
5.000000,25,NaN,2018
5.000000,26,NaN,2009
5.000000,26,734334.000000,2010
5.000000,26,NaN,2011
5.000000,26,NaN,2012
5.000000,26,735402.000000,2013
5.000000,26,735770.000000,2014
5.000000,26,736131.000000,2015
5.000000,26,736494.000000,2016
5.000000,26,NaN,2017
5.000000,26,737177.000000,2018
5.000000,27,NaN,2009
5.000000,27,NaN,2010
5.000000,27,NaN,2011
5.000000,27,735117.000000,2012
5.000000,27,NaN,2013
5.000000,27,735974.000000,2014
5.000000,27,736192.000000,2015
5.000000,27,736548.000000,2016
5.000000,27,737008.000000,2017
5.000000,28,NaN,2009
5.000000,28,NaN,2010
5.000000,28,734753.000000,2011
5.000000,28,735118.000000,2012
5.000000,28,735537.000000,2013
5.000000,28,735829.000000,2014
5.000000,28,736182.000000,2015
5.000000,28,NaN,2016
5.000000,28,737000.000000,2017
5.000000,29,NaN,2010
5.000000,29,734656.000000,2011
5.000000,29,NaN,2012
5.000000,29,NaN,2013
5.000000,29,735798.000000,2014
5.000000,29,NaN,2015
5.000000,29,736671.000000,2016
5.000000,29,NaN,2017
5.000000,29,737313.000000,2018
10.000000,1,NaN,2008
10.000000,1,733993.000000,2009
10.000000,1,734461.000000,2010
10.000000,1,NaN,2011
10.000000,1,NaN,2012
10.000000,1,NaN,2013
10.000000,1,735971.000000,2014
10.000000,1,736202.000000,2015
10.000000,1,736655.000000,2016
10.000000,1,737032.000000,2017
10.000000,1,737320.000000,2018
