depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,734928.000000,2011
5.000000,1,735267.000000,2012
5.000000,1,735587.000000,2013
5.000000,1,NaN,2014
5.000000,1,736371.000000,2015
5.000000,1,736701.000000,2016
5.000000,1,737206.000000,2017
5.000000,1,737575.000000,2018
5.000000,2,NaN,2010
5.000000,2,734872.000000,2011
5.000000,2,735274.000000,2012
5.000000,2,735612.000000,2013
5.000000,2,NaN,2014
5.000000,2,NaN,2015
5.000000,2,736817.000000,2016
5.000000,2,737146.000000,2017
5.000000,2,737521.000000,2018
5.000000,3,NaN,2010
5.000000,3,734914.000000,2011
5.000000,3,735279.000000,2012
5.000000,3,735695.000000,2013
5.000000,3,NaN,2014
5.000000,3,736455.000000,2015
5.000000,3,736800.000000,2016
5.000000,3,737175.000000,2017
5.000000,3,737583.000000,2018
5.000000,4,NaN,2010
5.000000,4,734908.000000,2011
5.000000,4,735277.000000,2012
5.000000,4,735661.000000,2013
5.000000,4,736002.000000,2014
5.000000,4,736365.000000,2015
5.000000,4,736743.000000,2016
5.000000,4,737113.000000,2017
5.000000,4,737492.000000,2018
5.000000,5,NaN,2010
5.000000,5,734928.000000,2011
5.000000,5,735278.000000,2012
5.000000,5,735616.000000,2013
5.000000,5,735970.000000,2014
5.000000,5,736353.000000,2015
5.000000,5,736711.000000,2016
5.000000,5,737128.000000,2017
5.000000,5,737479.000000,2018
5.000000,6,NaN,2009
5.000000,6,NaN,2010
5.000000,6,734861.000000,2011
5.000000,6,735231.000000,2012
5.000000,6,NaN,2013
5.000000,6,NaN,2014
5.000000,6,NaN,2015
5.000000,6,NaN,2016
5.000000,6,737135.000000,2017
5.000000,6,NaN,2018
5.000000,7,734222.000000,2009
5.000000,7,734585.000000,2010
5.000000,7,734992.000000,2011
5.000000,7,735281.000000,2012
5.000000,7,735647.000000,2013
5.000000,7,736043.000000,2014
5.000000,7,736326.000000,2015
5.000000,7,736753.000000,2016
5.000000,7,737157.000000,2017
5.000000,7,737456.000000,2018
5.000000,8,NaN,2008
5.000000,8,734374.000000,2009
5.000000,8,734873.000000,2010
5.000000,8,735160.000000,2011
5.000000,8,NaN,2012
5.000000,8,735810.000000,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736975.000000,2016
5.000000,8,NaN,2017
5.000000,9,734873.000000,2010
5.000000,9,735160.000000,2011
5.000000,9,NaN,2012
5.000000,9,735810.000000,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,736975.000000,2016
5.000000,9,NaN,2017
5.000000,10,734339.000000,2009
5.000000,10,734704.000000,2010
5.000000,10,735043.000000,2011
5.000000,10,NaN,2012
5.000000,10,NaN,2013
5.000000,10,736131.000000,2014
5.000000,10,736468.000000,2015
5.000000,10,736845.000000,2016
5.000000,10,737244.000000,2017
5.000000,11,NaN,2010
5.000000,11,NaN,2011
5.000000,11,735250.000000,2012
5.000000,11,735640.000000,2013
5.000000,11,735959.000000,2014
5.000000,11,NaN,2015
5.000000,11,NaN,2016
5.000000,11,737151.000000,2017
5.000000,11,NaN,2018
5.000000,12,NaN,2009
5.000000,12,NaN,2010
5.000000,12,734992.000000,2011
5.000000,12,735508.000000,2012
5.000000,12,NaN,2013
5.000000,12,NaN,2014
5.000000,12,NaN,2015
