depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,734970.000000,2012
5.000000,1,735372.000000,2013
5.000000,1,NaN,2014
5.000000,1,NaN,2015
5.000000,1,NaN,2016
5.000000,1,736848.000000,2017
5.000000,1,737274.000000,2018
5.000000,1,737606.000000,2019
5.000000,2,NaN,2012
5.000000,2,735030.000000,2013
5.000000,2,735502.000000,2014
5.000000,2,735771.000000,2015
5.000000,2,736137.000000,2016
5.000000,2,736521.000000,2017
5.000000,2,736879.000000,2018
5.000000,2,737265.000000,2019
5.000000,2,737673.000000,2020
5.000000,3,NaN,2012
5.000000,3,735094.000000,2013
5.000000,3,735447.000000,2014
5.000000,3,735795.000000,2015
5.000000,3,736144.000000,2016
5.000000,3,736528.000000,2017
5.000000,3,736891.000000,2018
5.000000,3,737267.000000,2019
5.000000,3,737630.000000,2020
5.000000,4,NaN,2012
5.000000,4,735121.000000,2013
5.000000,4,735497.000000,2014
5.000000,4,735777.000000,2015
5.000000,4,736140.000000,2016
5.000000,4,736518.000000,2017
5.000000,4,736891.000000,2018
5.000000,4,737307.000000,2019
5.000000,5,734708.000000,2012
5.000000,5,735008.000000,2013
5.000000,5,735400.000000,2014
5.000000,5,735758.000000,2015
5.000000,5,736144.000000,2016
5.000000,5,736496.000000,2017
5.000000,5,736850.000000,2018
5.000000,5,737208.000000,2019
5.000000,5,737636.000000,2020
5.000000,6,734253.000000,2010
5.000000,6,NaN,2011
5.000000,6,734940.000000,2012
5.000000,6,735333.000000,2013
5.000000,6,735701.000000,2014
5.000000,6,736106.000000,2015
5.000000,6,736461.000000,2016
5.000000,6,736811.000000,2017
5.000000,6,737162.000000,2018
5.000000,6,737521.000000,2019
5.000000,7,734270.000000,2011
5.000000,7,734693.000000,2012
5.000000,7,735025.000000,2013
5.000000,7,735414.000000,2014
5.000000,7,735736.000000,2015
5.000000,7,736048.000000,2016
5.000000,7,736505.000000,2017
5.000000,7,736895.000000,2018
5.000000,7,737194.000000,2019
5.000000,7,NaN,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,735028.000000,2013
5.000000,8,NaN,2014
5.000000,8,735792.000000,2015
