depth,sid,value,WY
5.000000,1,NaN,2010
5.000000,1,734867.000000,2011
5.000000,1,NaN,2012
5.000000,1,735574.000000,2013
5.000000,1,735935.000000,2014
5.000000,1,736341.000000,2015
5.000000,1,736705.000000,2016
5.000000,1,NaN,2017
5.000000,1,737515.000000,2018
5.000000,2,NaN,2010
5.000000,2,734856.000000,2011
5.000000,2,735261.000000,2012
5.000000,2,735601.000000,2013
5.000000,2,735986.000000,2014
5.000000,2,736362.000000,2015
5.000000,2,NaN,2016
5.000000,2,NaN,2017
5.000000,2,737482.000000,2018
5.000000,3,NaN,2010
5.000000,3,NaN,2011
5.000000,3,735203.000000,2012
5.000000,3,735622.000000,2013
5.000000,3,735911.000000,2014
5.000000,3,736300.000000,2015
5.000000,3,736742.000000,2016
5.000000,3,737027.000000,2017
5.000000,3,737374.000000,2018
5.000000,4,NaN,2010
5.000000,4,NaN,2011
5.000000,4,NaN,2012
5.000000,4,NaN,2013
5.000000,4,735950.000000,2014
5.000000,4,736382.000000,2015
5.000000,4,NaN,2016
5.000000,4,NaN,2017
5.000000,4,NaN,2018
5.000000,5,NaN,2010
5.000000,5,734805.000000,2011
5.000000,5,NaN,2012
5.000000,5,NaN,2013
5.000000,5,NaN,2014
5.000000,5,NaN,2015
5.000000,5,736737.000000,2016
5.000000,5,737088.000000,2017
5.000000,5,NaN,2018
5.000000,6,NaN,2009
5.000000,6,734320.000000,2010
5.000000,6,734681.000000,2011
5.000000,6,735046.000000,2012
5.000000,6,735407.000000,2013
5.000000,6,735776.000000,2014
5.000000,6,736127.000000,2015
5.000000,6,736544.000000,2016
5.000000,6,736874.000000,2017
5.000000,6,737261.000000,2018
5.000000,7,NaN,2009
5.000000,7,734504.000000,2010
5.000000,7,734803.000000,2011
5.000000,7,735239.000000,2012
5.000000,7,735537.000000,2013
5.000000,7,735957.000000,2014
5.000000,7,736312.000000,2015
5.000000,7,736717.000000,2016
5.000000,7,NaN,2017
5.000000,7,NaN,2018
5.000000,8,NaN,2008
5.000000,8,NaN,2009
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,NaN,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736766.000000,2016
5.000000,8,737246.000000,2017
5.000000,9,NaN,2010
5.000000,9,NaN,2011
5.000000,9,NaN,2012
5.000000,9,735728.000000,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,736767.000000,2016
5.000000,9,737278.000000,2017
5.000000,10,NaN,2009
5.000000,10,734467.000000,2010
5.000000,10,NaN,2011
5.000000,10,NaN,2012
5.000000,10,735670.000000,2013
5.000000,10,NaN,2014
5.000000,10,736245.000000,2015
5.000000,10,736701.000000,2016
5.000000,10,737066.000000,2017
5.000000,11,NaN,2010
5.000000,11,734874.000000,2011
5.000000,11,735241.000000,2012
5.000000,11,NaN,2013
5.000000,11,735930.000000,2014
5.000000,11,736295.000000,2015
5.000000,11,736699.000000,2016
5.000000,11,737041.000000,2017
5.000000,11,737436.000000,2018
5.000000,12,NaN,2009
5.000000,12,NaN,2010
5.000000,12,NaN,2011
5.000000,12,735189.000000,2012
5.000000,12,NaN,2013
5.000000,12,735954.000000,2014
5.000000,12,736244.000000,2015
5.000000,12,NaN,2016
5.000000,12,NaN,2017
5.000000,12,737327.000000,2018
5.000000,13,NaN,2009
5.000000,13,734316.000000,2010
5.000000,13,734683.000000,2011
5.000000,13,735040.000000,2012
5.000000,13,735425.000000,2013
5.000000,13,735794.000000,2014
5.000000,13,736134.000000,2015
5.000000,13,736503.000000,2016
5.000000,13,736874.000000,2017
5.000000,13,737271.000000,2018
5.000000,14,NaN,2010
5.000000,14,734952.000000,2011
5.000000,14,735204.000000,2012
5.000000,14,NaN,2013
5.000000,14,735944.000000,2014
5.000000,14,736340.000000,2015
5.000000,14,736747.000000,2016
5.000000,14,NaN,2017
5.000000,14,737462.000000,2018
5.000000,15,NaN,2010
5.000000,15,734831.000000,2011
5.000000,15,735204.000000,2012
5.000000,15,735626.000000,2013
5.000000,15,735944.000000,2014
5.000000,15,736301.000000,2015
5.000000,15,736696.000000,2016
5.000000,15,737050.000000,2017
5.000000,15,737379.000000,2018
5.000000,16,NaN,2009
5.000000,16,734462.000000,2010
5.000000,16,734806.000000,2011
5.000000,16,NaN,2012
5.000000,16,735641.000000,2013
5.000000,16,735926.000000,2014
5.000000,16,736239.000000,2015
5.000000,16,736693.000000,2016
5.000000,16,NaN,2017
5.000000,16,NaN,2018
5.000000,17,NaN,2009
5.000000,17,734283.000000,2010
5.000000,17,NaN,2011
5.000000,17,735081.000000,2012
5.000000,17,735468.000000,2013
5.000000,17,NaN,2014
5.000000,17,736216.000000,2015
5.000000,17,736538.000000,2016
5.000000,17,736891.000000,2017
5.000000,17,NaN,2018
5.000000,18,NaN,2009
5.000000,18,734512.000000,2010
5.000000,18,734838.000000,2011
5.000000,18,735251.000000,2012
5.000000,18,735607.000000,2013
5.000000,18,NaN,2014
5.000000,18,736286.000000,2015
5.000000,18,736729.000000,2016
5.000000,18,NaN,2017
5.000000,18,737326.000000,2018
5.000000,19,NaN,2009
5.000000,19,NaN,2010
5.000000,19,734748.000000,2011
5.000000,19,NaN,2012
5.000000,19,735364.000000,2013
5.000000,19,735727.000000,2014
5.000000,19,NaN,2015
5.000000,19,NaN,2016
5.000000,19,NaN,2017
5.000000,19,NaN,2018
5.000000,20,NaN,2010
5.000000,20,734907.000000,2011
5.000000,20,NaN,2012
5.000000,20,735615.000000,2013
5.000000,20,735944.000000,2014
5.000000,20,736310.000000,2015
5.000000,20,736699.000000,2016
5.000000,20,737049.000000,2017
5.000000,20,737415.000000,2018
5.000000,21,NaN,2010
