depth,sid,value,WY
5.000000,1,NaN,2011
5.000000,1,734932.500962,2012
5.000000,1,735288.250091,2013
5.000000,1,NaN,2014
5.000000,1,736039.822958,2015
5.000000,1,736368.606034,2016
5.000000,1,736741.047009,2017
5.000000,1,737143.000000,2018
5.000000,1,737548.864149,2019
5.000000,2,NaN,2012
5.000000,2,734911.253725,2013
5.000000,2,735287.969638,2014
5.000000,2,735693.999999,2015
5.000000,2,736117.320829,2016
5.000000,2,736436.877413,2017
5.000000,2,736731.114384,2018
5.000000,2,737143.000000,2019
5.000000,2,737472.000185,2020
5.000000,3,NaN,2012
5.000000,3,734967.000000,2013
5.000000,3,735277.999970,2014
5.000000,3,735693.584675,2015
5.000000,3,736118.121833,2016
5.000000,3,736398.608284,2017
5.000000,3,736752.834089,2018
5.000000,3,737134.000000,2019
5.000000,3,737520.999999,2020
5.000000,4,NaN,2012
5.000000,4,734959.000000,2013
5.000000,4,735375.026429,2014
5.000000,4,735671.929141,2015
5.000000,4,736127.266380,2016
5.000000,4,736453.677953,2017
5.000000,4,736750.014669,2018
5.000000,4,737104.000004,2019
5.000000,5,734690.031090,2012
5.000000,5,734936.297646,2013
5.000000,5,735350.251591,2014
5.000000,5,735693.336467,2015
5.000000,5,736135.202736,2016
5.000000,5,736472.642796,2017
5.000000,5,736727.411986,2018
5.000000,5,737186.000000,2019
5.000000,5,737530.321729,2020
5.000000,6,734241.009984,2010
5.000000,6,NaN,2011
5.000000,6,734895.609793,2012
5.000000,6,735294.892016,2013
5.000000,6,735676.999998,2014
5.000000,6,736044.000000,2015
5.000000,6,736379.999413,2016
5.000000,6,736713.036145,2017
5.000000,6,737132.349624,2018
5.000000,6,737503.764393,2019
5.000000,7,734239.000000,2011
5.000000,7,734593.999771,2012
5.000000,7,734987.000013,2013
5.000000,7,735303.896726,2014
5.000000,7,735694.000000,2015
5.000000,7,736034.095382,2016
5.000000,7,736402.000002,2017
5.000000,7,736754.360103,2018
5.000000,7,737097.589581,2019
5.000000,7,737493.929210,2020
5.000000,8,NaN,2010
5.000000,8,NaN,2011
5.000000,8,NaN,2012
5.000000,8,734972.367155,2013
5.000000,8,NaN,2014
5.000000,8,NaN,2015
5.000000,8,736125.098910,2016
5.000000,8,736468.658024,2017
5.000000,8,736829.392801,2018
5.000000,8,NaN,2019
5.000000,8,737517.760800,2020
5.000000,9,NaN,2012
5.000000,9,734980.147435,2013
5.000000,9,NaN,2014
5.000000,9,NaN,2015
5.000000,9,736198.515363,2016
5.000000,9,736470.112910,2017
5.000000,9,NaN,2018
5.000000,9,NaN,2019
5.000000,9,737515.268493,2020
5.000000,10,NaN,2011
5.000000,10,734689.755315,2012
5.000000,10,NaN,2013
5.000000,10,735367.019163,2014
5.000000,10,NaN,2015
5.000000,10,736117.535977,2016
5.000000,10,736468.000000,2017
5.000000,10,736844.397056,2018
5.000000,10,737236.761653,2019
5.000000,11,NaN,2012
5.000000,11,734945.488512,2013
5.000000,11,735261.664209,2014
5.000000,11,735661.000000,2015
5.000000,11,735982.520724,2016
5.000000,11,736365.489362,2017
5.000000,11,736716.000000,2018
5.000000,11,737146.254744,2019
5.000000,11,737531.839929,2020
5.000000,12,734253.298259,2011
5.000000,12,734704.000194,2012
5.000000,12,734982.960074,2013
5.000000,12,735369.876924,2014
5.000000,12,NaN,2015
5.000000,12,736120.393602,2016
5.000000,12,736457.000000,2017
5.000000,12,736846.129400,2018
5.000000,12,737295.058798,2019
5.000000,12,737635.459649,2020
5.000000,13,NaN,2010
5.000000,13,734397.999998,2011
5.000000,13,734927.345865,2012
5.000000,13,735128.999971,2013
5.000000,13,735495.000000,2014
5.000000,13,736028.439005,2015
5.000000,13,736360.172642,2016
5.000000,13,736751.587143,2017
5.000000,13,737140.515424,2018
5.000000,13,737417.062187,2019
5.000000,14,NaN,2012
5.000000,14,735020.848595,2013
5.000000,14,735409.934589,2014
5.000000,14,735653.000000,2015
5.000000,14,736124.992704,2016
5.000000,14,NaN,2017
5.000000,14,736721.763079,2018
5.000000,14,737126.000007,2019
5.000000,14,737503.000000,2020
5.000000,15,NaN,2011
5.000000,15,734978.835805,2012
5.000000,15,735247.696375,2013
5.000000,15,735666.752407,2014
5.000000,15,736007.476933,2015
5.000000,15,736408.999781,2016
5.000000,15,736775.237556,2017
5.000000,15,737098.390481,2018
5.000000,15,737509.559991,2019
5.000000,16,734217.000000,2011
5.000000,16,734723.487834,2012
5.000000,16,734981.387661,2013
5.000000,16,735308.874494,2014
5.000000,16,NaN,2015
5.000000,16,736035.756425,2016
5.000000,16,736386.400122,2017
5.000000,16,736750.499876,2018
5.000000,16,737147.402877,2019
5.000000,16,737493.692979,2020
5.000000,17,NaN,2010
5.000000,17,734552.001329,2011
5.000000,17,NaN,2012
5.000000,17,735272.357766,2013
5.000000,17,735598.041389,2014
5.000000,17,736073.000000,2015
5.000000,17,736332.001312,2016
5.000000,17,736725.001339,2017
5.000000,17,NaN,2018
5.000000,17,737369.665500,2019
5.000000,18,734372.052595,2011
5.000000,18,734649.421387,2012
5.000000,18,734945.669037,2013
5.000000,18,735336.252907,2014
5.000000,18,735687.359726,2015
5.000000,18,736042.000000,2016
5.000000,18,736421.000000,2017
5.000000,18,736768.219895,2018
5.000000,18,737172.256341,2019
5.000000,18,737526.000000,2020
5.000000,19,NaN,2010
5.000000,19,734439.220742,2011
5.000000,19,734889.256993,2012
5.000000,19,735311.513921,2013
5.000000,19,NaN,2014
5.000000,19,NaN,2015
5.000000,19,736264.532972,2016
5.000000,19,736635.825062,2017
5.000000,19,736981.000000,2018
5.000000,19,737360.999855,2019
5.000000,20,NaN,2012
5.000000,20,734949.632616,2013
5.000000,20,735290.958016,2014
5.000000,20,735643.000000,2015
5.000000,20,735973.000000,2016
5.000000,20,736346.280528,2017
5.000000,20,736726.338890,2018
5.000000,20,737116.259756,2019
5.000000,20,737484.428934,2020
5.000000,21,NaN,2012
5.000000,21,734945.406937,2013
5.000000,21,735366.489718,2014
5.000000,21,735667.000175,2015
5.000000,21,736034.239899,2016
5.000000,21,736355.780717,2017
5.000000,21,736846.653244,2018
5.000000,21,737207.000582,2019
5.000000,21,737577.059257,2020
5.000000,22,NaN,2010
5.000000,22,734254.084365,2011
5.000000,22,NaN,2012
5.000000,22,734972.900770,2013
5.000000,22,NaN,2014
5.000000,22,NaN,2015
5.000000,22,736115.888264,2016
5.000000,22,736470.000000,2017
5.000000,22,NaN,2018
5.000000,22,NaN,2019
5.000000,22,737507.999900,2020
5.000000,23,NaN,2010
5.000000,23,734264.548134,2011
5.000000,23,734658.147216,2012
5.000000,23,734981.171573,2013
5.000000,23,735290.935375,2014
