depth,station,insitu,gldas
10,1,731167.766721932,731146.536614542
10,1,731405.999992715,731437.188375237
10,1,731833.457223328,731818.295115764
10,1,732204.999965706,732197.892876499
10,1,732570.202667001,732609.979748306
10,1,732890.999999662,732889.999999986
10,1,733249.589039686,733262.000002497
10,1,733643.472422376,733616.000302751
10,1,733970.999999988,733987.185762654
10,1,734392.999999515,734473.665953001
10,1,734737.999999704,734745.822716415
10,1,735108.417935863,735096.196840636
10,1,735455.999999903,735494.052785278
10,1,735782.923347646,735833.551047885
10,1,NaN,NaN
10,1,736594.999999744,736605.554474868
10,1,736924.9999999,736924.153455424
10,1,737249.999999991,737251.227140035
