depth,station,insitu,gldas
10,1,NaN,NaN
10,1,731361.508853321,731214.999999553
10,1,731683.864134737,731665.373318029
10,1,732077.646910318,732074.777762918
10,1,732461.45711674,732461.227470326
10,1,732822.76928021,732751.411571958
10,1,733085.816128078,733091.769425443
10,1,733492.49446554,733483.999985503
10,1,733862.199882859,733837.402714063
10,1,734244.271882288,734153.999740369
10,1,734646.277541309,NaN
10,1,734913.49139406,734884.199521777
10,1,735265.659142809,735268.073588314
10,1,735617.987237519,735642.999999831
10,1,NaN,NaN
10,1,736439.843691889,736429.584208448
10,1,736757.999998978,736771.209605242
10,1,737171.520424603,737169.63188173
