depth,station,insitu,gldas
10,1,NaN,NaN
10,1,731370.648178142,731318.81820383
10,1,731814.015185809,731794.365029295
10,1,732113.801055548,732103.325639828
10,1,732491.921389613,732488.565512765
10,1,732870.000022465,732787.823942495
10,1,733201.678634696,733210.223540526
10,1,733609.999999931,733584.524021506
10,1,733934.241544765,733949.999999453
10,1,734338.571439463,734284.641744879
10,1,734654.206709628,NaN
10,1,734928.563003655,735034.196565047
10,1,735415.659039164,735417.902975596
10,1,735699.0000178,735700.295860689
10,1,NaN,NaN
10,1,736499.991327249,736492.654225387
10,1,736831.348444849,736821.999999836
10,1,737199.130023927,737199.040927703
