depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730832.000000,2001
5.080000,1,NaN,2002
5.080000,1,731388.000000,2003
5.080000,2,NaN,2004
5.080000,2,732290.000000,2005
5.080000,2,NaN,2006
5.080000,2,732875.000000,2007
5.080000,2,NaN,2008
5.080000,2,733571.000000,2009
5.080000,2,733940.000000,2010
5.080000,2,734310.000000,2011
5.080000,2,734807.000000,2012
5.080000,2,NaN,2013
5.080000,2,735409.000000,2014
5.080000,2,NaN,2015
5.080000,2,NaN,2016
5.080000,2,736524.000000,2017
5.080000,2,NaN,2018
5.080000,2,737377.000000,2019
5.080000,3,735984.000000,2016
5.080000,3,736283.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,732891.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,734179.000000,2011
5.080000,4,NaN,2012
5.080000,4,734792.000000,2013
5.080000,4,NaN,2014
5.080000,4,735553.000000,2015
5.080000,4,NaN,2016
5.080000,4,736227.000000,2017
5.080000,5,NaN,2001
5.080000,5,730773.000000,2001
5.080000,5,NaN,2002
5.080000,5,731559.000000,2003
5.080000,5,NaN,2004
5.080000,5,732201.000000,2005
5.080000,9,NaN,2008
5.080000,9,733455.000000,2009
5.080000,9,733811.000000,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,734767.000000,2013
5.080000,9,NaN,2014
5.080000,9,735423.000000,2015
5.080000,9,735931.000000,2016
5.080000,9,736339.000000,2017
5.080000,9,736729.000000,2018
5.080000,9,NaN,2019
5.080000,9,737577.000000,2020
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,NaN,2010
5.080000,10,NaN,2011
5.080000,10,NaN,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,735465.000000,2015
5.080000,10,735839.000000,2016
5.080000,10,736208.000000,2017
5.080000,10,736763.000000,2018
5.080000,10,737117.000000,2019
5.080000,10,737325.000000,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,736361.000000,2017
5.080000,11,736698.000000,2018
5.080000,11,737055.000000,2019
5.080000,11,737482.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,733453.000000,2009
5.080000,12,NaN,2010
5.080000,12,NaN,2011
5.080000,12,734593.000000,2012
5.080000,12,734941.000000,2013
5.080000,12,735131.000000,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,736358.000000,2017
5.080000,13,736564.000000,2018
5.080000,13,736939.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,NaN,2016
5.080000,14,736226.000000,2017
5.080000,14,736871.000000,2018
5.080000,14,736948.000000,2019
5.080000,14,NaN,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732742.000000,2007
5.080000,15,NaN,2008
5.080000,15,733519.000000,2009
5.080000,15,NaN,2010
5.080000,15,734261.000000,2011
5.080000,15,NaN,2012
5.080000,15,NaN,2013
5.080000,15,735374.000000,2014
5.080000,17,NaN,2014
5.080000,17,NaN,2015
5.080000,17,735922.000000,2016
5.080000,17,736238.000000,2017
5.080000,17,736690.000000,2018
5.080000,17,737055.000000,2019
5.080000,17,737495.000000,2020
5.080000,19,NaN,2013
5.080000,19,735457.000000,2014
5.080000,21,NaN,2008
5.080000,21,NaN,2009
5.080000,21,733813.000000,2010
5.080000,21,734169.000000,2011
5.080000,21,734440.000000,2012
5.080000,21,NaN,2013
5.080000,21,NaN,2014
5.080000,21,NaN,2015
5.080000,21,NaN,2016
5.080000,21,NaN,2017
5.080000,21,736614.000000,2018
5.080000,21,NaN,2019
5.080000,21,NaN,2020
5.080000,22,NaN,2008
5.080000,22,NaN,2009
5.080000,22,NaN,2010
5.080000,22,NaN,2011
5.080000,22,734471.000000,2012
5.080000,22,NaN,2013
5.080000,22,NaN,2014
5.080000,22,NaN,2015
5.080000,22,735828.000000,2016
5.080000,22,736270.000000,2017
5.080000,22,NaN,2018
5.080000,22,NaN,2019
5.080000,22,NaN,2020
5.080000,24,NaN,2012
5.080000,24,NaN,2013
5.080000,24,735412.000000,2014
5.080000,24,NaN,2015
5.080000,24,NaN,2016
5.080000,24,736672.000000,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730525.000000,2001
5.080000,25,730909.000000,2002
5.080000,25,731312.000000,2003
5.080000,25,731641.000000,2004
5.080000,26,NaN,2005
5.080000,26,732316.000000,2006
5.080000,26,732830.000000,2007
5.080000,26,NaN,2008
5.080000,26,NaN,2009
5.080000,26,NaN,2010
5.080000,26,NaN,2011
5.080000,26,734564.000000,2012
5.080000,26,734947.000000,2013
5.080000,26,NaN,2014
5.080000,26,NaN,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,736729.000000,2018
5.080000,26,736939.000000,2019
5.080000,27,NaN,2011
5.080000,27,734437.000000,2012
5.080000,27,734906.000000,2013
5.080000,27,735093.000000,2014
5.080000,27,NaN,2015
5.080000,27,735957.000000,2016
5.080000,27,NaN,2017
5.080000,27,NaN,2018
5.080000,27,737069.000000,2019
5.080000,27,NaN,2020
5.080000,28,NaN,2007
5.080000,28,733568.000000,2008
5.080000,28,NaN,2009
5.080000,28,NaN,2010
5.080000,28,734424.000000,2011
5.080000,28,734768.000000,2012
5.080000,28,735109.000000,2013
5.080000,28,NaN,2014
5.080000,28,735795.000000,2015
5.080000,28,736229.000000,2016
5.080000,28,736665.000000,2017
5.080000,28,736888.000000,2018
5.080000,28,737323.000000,2019
5.080000,29,NaN,2011
5.080000,29,734422.000000,2012
5.080000,29,734880.000000,2013
5.080000,29,NaN,2014
5.080000,29,735629.000000,2015
5.080000,29,735945.000000,2016
5.080000,29,NaN,2017
5.080000,29,736706.000000,2018
5.080000,29,736946.000000,2019
5.080000,29,NaN,2020
5.080000,30,NaN,2010
5.080000,30,734401.000000,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,735429.000000,2014
5.080000,30,735803.000000,2015
5.080000,30,736241.000000,2016
5.080000,30,736688.000000,2017
5.080000,30,NaN,2018
5.080000,30,NaN,2019
5.080000,31,NaN,2011
5.080000,31,NaN,2012
5.080000,31,734741.000000,2013
5.080000,31,735250.000000,2014
5.080000,31,735457.000000,2015
5.080000,31,NaN,2016
5.080000,31,736252.000000,2017
5.080000,31,NaN,2018
5.080000,31,NaN,2019
5.080000,31,737322.000000,2020
5.080000,33,NaN,2006
5.080000,33,732739.000000,2007
5.080000,33,733080.000000,2008
5.080000,33,733513.000000,2009
5.080000,35,NaN,2008
5.080000,35,733452.000000,2009
5.080000,35,NaN,2010
5.080000,35,734192.000000,2011
5.080000,35,734564.000000,2012
5.080000,35,NaN,2013
5.080000,35,NaN,2014
5.080000,35,735655.000000,2015
5.080000,35,NaN,2016
5.080000,35,736365.000000,2017
5.080000,35,NaN,2018
5.080000,35,737129.000000,2019
5.080000,35,737490.000000,2020
5.080000,36,NaN,2010
5.080000,36,NaN,2011
5.080000,36,734526.000000,2012
5.080000,36,NaN,2013
5.080000,36,735172.000000,2014
5.080000,36,NaN,2015
5.080000,36,735857.000000,2016
5.080000,36,736321.000000,2017
5.080000,36,NaN,2018
5.080000,36,737005.000000,2019
5.080000,36,NaN,2020
5.080000,37,NaN,2010
5.080000,37,NaN,2011
5.080000,37,NaN,2012
5.080000,37,NaN,2013
5.080000,37,735402.000000,2014
5.080000,37,735788.000000,2015
5.080000,37,NaN,2016
5.080000,37,736454.000000,2017
5.080000,37,NaN,2018
5.080000,37,NaN,2019
5.080000,38,NaN,2010
5.080000,38,734303.000000,2011
5.080000,38,734672.000000,2012
5.080000,38,NaN,2013
5.080000,38,735401.000000,2014
5.080000,38,735799.000000,2015
5.080000,38,736134.000000,2016
5.080000,38,736538.000000,2017
5.080000,38,736871.000000,2018
5.080000,38,737211.000000,2019
5.080000,39,NaN,2010
5.080000,39,734303.000000,2011
5.080000,39,NaN,2012
5.080000,39,NaN,2013
5.080000,39,735427.000000,2014
5.080000,39,735795.000000,2015
5.080000,39,NaN,2016
5.080000,39,736521.000000,2017
5.080000,39,NaN,2018
5.080000,39,737400.000000,2019
5.080000,40,NaN,2014
5.080000,40,735546.000000,2015
5.080000,40,735922.000000,2016
5.080000,40,736333.000000,2017
5.080000,40,736739.000000,2018
5.080000,40,NaN,2019
5.080000,40,737532.000000,2020
5.080000,41,NaN,2008
5.080000,41,733809.000000,2009
5.080000,41,734091.000000,2010
5.080000,41,734484.000000,2011
5.080000,41,734873.000000,2012
5.080000,42,NaN,2014
5.080000,42,NaN,2015
5.080000,42,NaN,2016
5.080000,42,736332.000000,2017
5.080000,42,736680.000000,2018
5.080000,42,NaN,2019
5.080000,42,NaN,2020
5.080000,44,NaN,2007
5.080000,44,733079.000000,2008
5.080000,44,733465.000000,2009
5.080000,44,733835.000000,2010
5.080000,44,734191.000000,2011
5.080000,44,734561.000000,2012
5.080000,44,NaN,2013
5.080000,44,735300.000000,2014
5.080000,44,735654.000000,2015
5.080000,44,735978.000000,2016
5.080000,46,NaN,2011
5.080000,46,734789.000000,2012
5.080000,47,NaN,2005
5.080000,47,NaN,2006
5.080000,47,NaN,2007
5.080000,47,733033.000000,2008
5.080000,47,NaN,2009
5.080000,47,NaN,2010
5.080000,47,734127.000000,2011
5.080000,48,NaN,2016
5.080000,48,736553.000000,2017
5.080000,48,736858.000000,2018
5.080000,48,737381.000000,2019
5.080000,49,NaN,2001
5.080000,49,NaN,2002
5.080000,49,731142.000000,2003
5.080000,49,731563.000000,2004
5.080000,49,731903.000000,2005
5.080000,49,732275.000000,2006
5.080000,49,732653.000000,2007
5.080000,50,NaN,2008
5.080000,50,NaN,2009
5.080000,50,NaN,2010
5.080000,50,734155.000000,2011
5.080000,50,734453.000000,2012
5.080000,50,NaN,2013
5.080000,50,735160.000000,2014
5.080000,50,NaN,2015
5.080000,50,735957.000000,2016
5.080000,50,736291.000000,2017
5.080000,50,736852.000000,2018
5.080000,50,736995.000000,2019
5.080000,50,737377.000000,2020
5.080000,51,NaN,2010
5.080000,51,NaN,2011
5.080000,51,NaN,2012
5.080000,51,NaN,2013
5.080000,51,NaN,2014
5.080000,51,NaN,2015
5.080000,51,NaN,2016
5.080000,51,736535.000000,2017
5.080000,51,736874.000000,2018
5.080000,51,737322.000000,2019
5.080000,52,NaN,2010
5.080000,52,NaN,2011
5.080000,52,734697.000000,2012
5.080000,52,NaN,2013
5.080000,52,NaN,2014
5.080000,52,NaN,2015
5.080000,52,736253.000000,2016
5.080000,52,736668.000000,2017
5.080000,52,NaN,2018
5.080000,52,737347.000000,2019
5.080000,53,733363.000000,2008
5.080000,53,NaN,2009
5.080000,53,734108.000000,2010
5.080000,53,734455.000000,2011
5.080000,53,NaN,2012
5.080000,54,NaN,2014
5.080000,54,735451.000000,2015
5.080000,54,735967.000000,2016
5.080000,54,NaN,2017
5.080000,54,736684.000000,2018
5.080000,54,737055.000000,2019
5.080000,54,737452.000000,2020
5.080000,55,NaN,2007
5.080000,55,NaN,2008
5.080000,55,733436.000000,2009
5.080000,55,733861.000000,2010
5.080000,55,734135.000000,2011
5.080000,55,734402.000000,2012
5.080000,55,734878.000000,2013
5.080000,55,735247.000000,2014
5.080000,55,735522.000000,2015
5.080000,55,735991.000000,2016
5.080000,55,736258.000000,2017
5.080000,55,NaN,2018
5.080000,55,737062.000000,2019
