depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730641.109168,2001
5.080000,1,731017.248662,2002
5.080000,1,731403.000000,2003
5.080000,2,NaN,2004
5.080000,2,732135.000000,2005
5.080000,2,732517.564354,2006
5.080000,2,732879.976392,2007
5.080000,2,NaN,2008
5.080000,2,733594.000000,2009
5.080000,2,733961.000000,2010
5.080000,2,734318.537731,2011
5.080000,2,734698.888969,2012
5.080000,2,NaN,2013
5.080000,2,735408.000000,2014
5.080000,2,735782.604605,2015
5.080000,2,736084.519418,2016
5.080000,2,736453.557499,2017
5.080000,2,736801.000000,2018
5.080000,2,737255.250524,2019
5.080000,3,NaN,2016
5.080000,3,736327.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,NaN,2006
5.080000,4,732893.766990,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,NaN,2011
5.080000,4,734770.000000,2012
5.080000,4,735090.000000,2013
5.080000,4,NaN,2014
5.080000,4,NaN,2015
5.080000,4,736074.000000,2016
5.080000,4,NaN,2017
5.080000,5,NaN,2001
5.080000,5,730862.363084,2001
5.080000,5,NaN,2002
5.080000,5,731444.000000,2003
5.080000,5,NaN,2004
5.080000,5,732252.000000,2005
5.080000,9,NaN,2007
5.080000,9,733398.000000,2008
5.080000,9,733750.999999,2009
5.080000,9,734191.034625,2010
5.080000,9,NaN,2011
5.080000,9,734820.106494,2012
5.080000,9,NaN,2013
5.080000,9,735452.000000,2014
5.080000,9,735923.949966,2015
5.080000,9,736258.999958,2016
5.080000,9,NaN,2017
5.080000,9,NaN,2018
5.080000,9,737238.000000,2019
5.080000,10,NaN,2008
5.080000,10,733417.641658,2009
5.080000,10,733779.000009,2010
5.080000,10,734193.742115,2011
5.080000,10,734497.131417,2012
5.080000,10,734956.251523,2013
5.080000,10,735261.135294,2014
5.080000,10,735569.506128,2015
5.080000,10,735985.000000,2016
5.080000,10,736346.999995,2017
5.080000,10,736697.269893,2018
5.080000,10,NaN,2019
5.080000,10,737402.468052,2020
5.080000,11,NaN,2015
5.080000,11,735921.000000,2016
5.080000,11,736309.922153,2017
5.080000,11,736696.718414,2018
5.080000,11,737057.997252,2019
5.080000,11,737447.192416,2020
5.080000,12,NaN,2007
5.080000,12,733096.039203,2008
5.080000,12,733454.000000,2009
5.080000,12,733768.999994,2010
5.080000,12,734162.290347,2011
5.080000,12,734491.438638,2012
5.080000,12,734769.000000,2013
5.080000,12,735159.618789,2014
5.080000,12,735572.000000,2015
5.080000,12,735966.088386,2016
5.080000,13,NaN,2017
5.080000,13,736599.999997,2018
5.080000,13,737130.000000,2019
5.080000,14,NaN,2014
5.080000,14,735666.999999,2015
5.080000,14,NaN,2016
5.080000,14,736329.000000,2017
5.080000,14,736690.918108,2018
5.080000,14,737082.000000,2019
5.080000,14,737483.000000,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732892.000000,2007
5.080000,15,NaN,2008
5.080000,15,733471.000000,2009
5.080000,15,NaN,2010
5.080000,15,734317.000000,2011
5.080000,15,734684.000000,2012
5.080000,15,NaN,2013
5.080000,15,NaN,2014
5.080000,17,735624.000000,2015
5.080000,17,735933.999957,2016
5.080000,17,736239.850143,2017
5.080000,17,736711.999999,2018
5.080000,17,737067.621459,2019
5.080000,17,737461.000000,2020
5.080000,19,NaN,2014
5.080000,19,735597.000000,2015
5.080000,21,NaN,2007
5.080000,21,733427.262411,2008
5.080000,21,733763.072194,2009
5.080000,21,734146.000000,2010
5.080000,21,734505.129599,2011
5.080000,21,734767.562508,2012
5.080000,21,735088.297923,2013
5.080000,21,735456.747179,2014
5.080000,21,735800.000000,2015
