depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730968.000000,2001
5.080000,1,731339.002195,2002
5.080000,1,731693.776861,2003
5.080000,2,NaN,2004
5.080000,2,732346.986639,2005
5.080000,2,732656.450585,2006
5.080000,2,733099.755823,2007
5.080000,2,733445.902865,2008
5.080000,2,733735.967396,2009
5.080000,2,734230.342793,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,735169.172529,2013
5.080000,2,735511.772564,2014
5.080000,2,735882.311717,2015
5.080000,2,736377.712938,2016
5.080000,2,736607.902704,2017
5.080000,2,737017.566090,2018
5.080000,2,737393.889622,2019
5.080000,3,736198.679636,2016
5.080000,3,NaN,2017
5.080000,3,736874.611969,2018
5.080000,4,NaN,2005
5.080000,4,732584.817392,2006
5.080000,4,733166.298122,2007
5.080000,4,NaN,2008
5.080000,4,733897.172454,2009
5.080000,4,734233.000000,2010
5.080000,4,NaN,2011
5.080000,4,734889.840252,2012
5.080000,4,735329.263237,2013
5.080000,4,735512.981876,2014
5.080000,4,736010.314124,2015
5.080000,4,736274.893006,2016
5.080000,4,NaN,2017
5.080000,5,730588.375107,2001
5.080000,5,730956.125235,2001
5.080000,5,NaN,2002
5.080000,5,731769.040341,2003
5.080000,5,NaN,2004
5.080000,5,732384.701502,2005
5.080000,9,NaN,2007
5.080000,9,733509.743018,2008
5.080000,9,733861.578736,2009
5.080000,9,734278.000346,2010
5.080000,9,734685.449635,2011
5.080000,9,734978.730587,2012
5.080000,9,735348.404475,2013
5.080000,9,735760.534977,2014
5.080000,9,736063.995509,2015
5.080000,9,736387.711272,2016
5.080000,9,NaN,2017
5.080000,9,737346.419923,2018
5.080000,9,737609.870543,2019
5.080000,10,NaN,2008
5.080000,10,733519.344196,2009
5.080000,10,733873.833375,2010
5.080000,10,734271.099955,2011
5.080000,10,734676.482457,2012
5.080000,10,735000.259650,2013
5.080000,10,735397.999996,2014
5.080000,10,735684.650381,2015
5.080000,10,736058.801144,2016
5.080000,10,736410.736732,2017
5.080000,10,736774.204672,2018
5.080000,10,737221.302739,2019
5.080000,10,737618.898931,2020
5.080000,11,NaN,2015
5.080000,11,736136.873558,2016
5.080000,11,736506.525724,2017
5.080000,11,736857.349423,2018
5.080000,11,737226.655163,2019
5.080000,11,737610.441031,2020
5.080000,12,NaN,2007
5.080000,12,733130.580507,2008
5.080000,12,733490.715752,2009
5.080000,12,733923.562571,2010
5.080000,12,734220.435017,2011
5.080000,12,734724.140481,2012
5.080000,12,735060.005526,2013
5.080000,12,735417.939084,2014
5.080000,12,735739.851555,2015
5.080000,12,736062.769893,2016
5.080000,13,736399.252288,2017
5.080000,13,736783.309412,2018
5.080000,13,737177.372047,2019
5.080000,14,735533.279818,2014
5.080000,14,735768.384401,2015
5.080000,14,736191.000097,2016
5.080000,14,736492.350940,2017
5.080000,14,736885.000000,2018
5.080000,14,NaN,2019
5.080000,14,737723.031790,2020
5.080000,15,NaN,2005
5.080000,15,732650.649915,2006
5.080000,15,733095.351904,2007
5.080000,15,733324.547521,2008
5.080000,15,733725.235997,2009
5.080000,15,NaN,2010
5.080000,15,734532.652243,2011
5.080000,15,734891.540599,2012
5.080000,15,735172.540782,2013
5.080000,15,735512.921664,2014
5.080000,17,735696.889879,2015
5.080000,17,736069.147110,2016
5.080000,17,736438.004222,2017
5.080000,17,736807.660262,2018
5.080000,17,737162.490276,2019
5.080000,17,737540.147724,2020
5.080000,19,NaN,2014
5.080000,19,735672.670305,2015
5.080000,21,NaN,2007
5.080000,21,733515.382258,2008
5.080000,21,733907.431860,2009
5.080000,21,734281.392684,2010
5.080000,21,734675.864515,2011
5.080000,21,735002.843883,2012
5.080000,21,735390.249083,2013
5.080000,21,735685.529569,2014
5.080000,21,736031.475950,2015
5.080000,21,736391.353129,2016
5.080000,21,736770.526105,2017
5.080000,21,NaN,2018
5.080000,21,737660.616807,2019
5.080000,22,NaN,2008
5.080000,22,733533.529475,2009
5.080000,22,733976.490206,2010
5.080000,22,734299.316692,2011
5.080000,22,734689.320993,2012
5.080000,22,735021.305956,2013
5.080000,22,735395.000005,2014
5.080000,22,735772.929986,2015
5.080000,22,736022.832960,2016
5.080000,22,736496.381558,2017
5.080000,22,736866.244834,2018
5.080000,22,737229.999958,2019
5.080000,22,737613.930917,2020
5.080000,24,735024.545079,2012
5.080000,24,735343.493633,2013
5.080000,24,735684.421633,2014
5.080000,24,736060.185802,2015
5.080000,24,736380.775661,2016
5.080000,24,736784.430773,2017
5.080000,24,NaN,2018
5.080000,25,730607.411591,2001
5.080000,25,730978.000020,2002
5.080000,25,731328.796984,2003
5.080000,25,731786.000000,2004
5.080000,26,NaN,2005
5.080000,26,732437.254158,2006
5.080000,26,732800.833178,2007
5.080000,26,733255.999801,2008
5.080000,26,733491.747850,2009
5.080000,26,733921.177229,2010
5.080000,26,734226.662299,2011
5.080000,26,734740.000518,2012
5.080000,26,735055.557415,2013
5.080000,26,735327.347159,2014
5.080000,26,735709.380251,2015
5.080000,26,736031.817526,2016
5.080000,26,736489.552791,2017
5.080000,26,736914.525640,2018
5.080000,26,737186.823519,2019
5.080000,27,734295.000000,2011
5.080000,27,734627.040443,2012
5.080000,27,735020.314492,2013
5.080000,27,735324.673683,2014
5.080000,27,735675.608917,2015
5.080000,27,736024.546230,2016
5.080000,27,736406.922540,2017
5.080000,27,736811.885615,2018
5.080000,27,737154.450032,2019
5.080000,27,737622.946730,2020
5.080000,28,NaN,2007
5.080000,28,733516.750630,2008
5.080000,28,733853.121884,2009
5.080000,28,734255.280993,2010
5.080000,28,734689.999893,2011
5.080000,28,735028.870250,2012
5.080000,28,735391.919750,2013
5.080000,28,735766.653628,2014
5.080000,28,736140.267820,2015
5.080000,28,736443.002546,2016
5.080000,28,736776.344616,2017
5.080000,28,737205.400161,2018
5.080000,28,737541.469279,2019
5.080000,29,734302.730043,2011
5.080000,29,734630.512122,2012
5.080000,29,734983.650129,2013
5.080000,29,735393.571688,2014
5.080000,29,735757.000000,2015
5.080000,29,736072.499867,2016
5.080000,29,736526.543795,2017
5.080000,29,736791.684127,2018
5.080000,29,737286.577778,2019
5.080000,29,737550.801373,2020
5.080000,30,734238.587486,2010
5.080000,30,734625.734481,2011
5.080000,30,735009.779086,2012
5.080000,30,735387.000440,2013
5.080000,30,735746.987119,2014
5.080000,30,736137.718630,2015
5.080000,30,736405.512672,2016
5.080000,30,736800.420884,2017
5.080000,30,737217.286506,2018
5.080000,30,737606.000000,2019
5.080000,31,734227.926483,2011
5.080000,31,734634.242084,2012
5.080000,31,734982.740692,2013
5.080000,31,735329.612166,2014
5.080000,31,735678.644489,2015
5.080000,31,736070.393997,2016
5.080000,31,736464.936246,2017
5.080000,31,NaN,2018
5.080000,31,737152.886003,2019
5.080000,31,737627.082821,2020
5.080000,33,NaN,2006
5.080000,33,NaN,2007
5.080000,33,733109.649871,2008
5.080000,33,733569.588939,2009
5.080000,35,733199.186112,2008
5.080000,35,733489.415796,2009
5.080000,35,733875.756475,2010
5.080000,35,734233.756554,2011
5.080000,35,734756.699830,2012
5.080000,35,735053.000000,2013
5.080000,35,735416.420134,2014
5.080000,35,735710.313731,2015
5.080000,35,736036.941647,2016
5.080000,35,736402.084579,2017
5.080000,35,736831.752502,2018
5.080000,35,737179.195942,2019
5.080000,35,737521.130352,2020
5.080000,36,733854.702741,2010
5.080000,36,734355.833544,2011
5.080000,36,734732.182588,2012
5.080000,36,735084.287948,2013
5.080000,36,735515.299086,2014
5.080000,36,NaN,2015
5.080000,36,736178.354470,2016
5.080000,36,736519.776471,2017
5.080000,36,736896.999957,2018
5.080000,36,737278.951296,2019
5.080000,36,737655.569388,2020
5.080000,37,734234.849353,2010
5.080000,37,734628.698617,2011
5.080000,37,734940.001888,2012
5.080000,37,735173.577318,2013
5.080000,37,735689.502839,2014
5.080000,37,735881.300825,2015
5.080000,37,736384.447443,2016
5.080000,37,736762.327918,2017
5.080000,37,737033.878017,2018
5.080000,37,737374.196045,2019
5.080000,38,734234.849353,2010
5.080000,38,734628.698617,2011
5.080000,38,734940.001888,2012
5.080000,38,735173.577318,2013
5.080000,38,735689.502839,2014
5.080000,38,735881.300825,2015
5.080000,38,736384.447443,2016
5.080000,38,736762.327918,2017
5.080000,38,737033.878017,2018
5.080000,38,737374.196045,2019
5.080000,39,734234.849353,2010
5.080000,39,734628.698617,2011
5.080000,39,734940.001888,2012
5.080000,39,735173.577318,2013
5.080000,39,735689.502839,2014
5.080000,39,735881.300825,2015
5.080000,39,736384.447443,2016
5.080000,39,736762.327918,2017
5.080000,39,737033.878017,2018
5.080000,39,737374.196045,2019
5.080000,40,NaN,2014
5.080000,40,735682.420792,2015
5.080000,40,NaN,2016
5.080000,40,736381.702165,2017
5.080000,40,736770.196386,2018
5.080000,40,NaN,2019
5.080000,40,737609.220796,2020
5.080000,41,NaN,2008
5.080000,41,733916.000005,2009
5.080000,41,734337.100993,2010
5.080000,41,734691.999299,2011
5.080000,41,734977.403599,2012
5.080000,42,NaN,2013
5.080000,42,735682.418942,2014
5.080000,42,736030.491907,2015
5.080000,42,736379.772653,2016
5.080000,42,NaN,2017
5.080000,42,NaN,2018
5.080000,42,737609.220798,2019
5.080000,44,NaN,2007
5.080000,44,733161.000000,2008
5.080000,44,733494.751364,2009
5.080000,44,733915.782602,2010
5.080000,44,734218.783299,2011
5.080000,44,734607.000010,2012
5.080000,44,735049.572116,2013
5.080000,44,735415.715786,2014
5.080000,44,735739.380799,2015
5.080000,44,736037.003023,2016
5.080000,46,NaN,2012
5.080000,46,735169.624839,2013
5.080000,47,NaN,2005
5.080000,47,732650.543220,2006
5.080000,47,NaN,2007
5.080000,47,733324.629635,2008
5.080000,47,733729.861583,2009
5.080000,47,NaN,2010
5.080000,47,734353.000158,2011
5.080000,48,NaN,2016
5.080000,48,736626.000000,2017
5.080000,48,737007.982681,2018
5.080000,48,737397.000000,2019
5.080000,49,730696.167801,2001
5.080000,49,731023.715278,2002
5.080000,49,731431.643758,2003
5.080000,49,731778.530012,2004
5.080000,49,732143.051504,2005
5.080000,49,732538.000017,2006
5.080000,49,732903.998565,2007
5.080000,50,733222.000000,2008
5.080000,50,733603.274465,2009
5.080000,50,733964.693777,2010
5.080000,50,734366.999944,2011
5.080000,50,734561.239649,2012
5.080000,50,735122.403938,2013
5.080000,50,735400.426908,2014
5.080000,50,735794.014492,2015
5.080000,50,736147.550572,2016
5.080000,50,736515.999968,2017
5.080000,50,736908.231834,2018
5.080000,50,737276.999979,2019
5.080000,50,737607.595202,2020
5.080000,51,734195.335968,2011
5.080000,51,734674.171769,2012
5.080000,51,735010.287649,2013
5.080000,51,735396.622312,2014
5.080000,51,735766.617548,2015
5.080000,51,736019.785044,2016
5.080000,51,736405.694127,2017
