depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730892.445464,2001
5.080000,1,731261.009666,2002
5.080000,1,731582.000000,2003
5.080000,2,NaN,2004
5.080000,2,732340.544102,2005
5.080000,2,732605.999991,2006
5.080000,2,733079.323722,2007
5.080000,2,733424.023956,2008
5.080000,2,733696.677961,2009
5.080000,2,734222.999995,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,735160.000000,2013
5.080000,2,735499.798324,2014
5.080000,2,735874.000627,2015
5.080000,2,736348.000000,2016
5.080000,2,736596.000000,2017
5.080000,2,736986.186890,2018
5.080000,2,737380.259784,2019
5.080000,3,735985.000000,2016
5.080000,3,NaN,2017
5.080000,3,736866.000000,2018
5.080000,4,NaN,2005
5.080000,4,732561.237079,2006
5.080000,4,732992.224926,2007
5.080000,4,NaN,2008
5.080000,4,733722.222264,2009
5.080000,4,734186.000000,2010
5.080000,4,NaN,2011
5.080000,4,734869.999974,2012
5.080000,4,735302.000000,2013
5.080000,4,735509.000098,2014
5.080000,4,736001.553519,2015
5.080000,4,736267.860097,2016
5.080000,4,NaN,2017
5.080000,5,730581.000000,2001
5.080000,5,730920.000001,2001
5.080000,5,NaN,2002
5.080000,5,731765.000000,2003
5.080000,5,NaN,2004
5.080000,5,732367.977310,2005
5.080000,9,NaN,2007
5.080000,9,733462.309226,2008
5.080000,9,733817.644075,2009
5.080000,9,734268.000131,2010
5.080000,9,734681.603951,2011
5.080000,9,734951.148912,2012
5.080000,9,735333.327245,2013
5.080000,9,735653.999929,2014
5.080000,9,735995.333807,2015
5.080000,9,736379.260954,2016
5.080000,9,NaN,2017
5.080000,9,737314.999999,2018
5.080000,9,737577.998422,2019
5.080000,10,NaN,2008
5.080000,10,733467.111160,2009
5.080000,10,733828.608558,2010
5.080000,10,734211.999995,2011
5.080000,10,734559.162740,2012
5.080000,10,734933.000000,2013
5.080000,10,735306.625088,2014
5.080000,10,735640.130199,2015
5.080000,10,736038.324907,2016
5.080000,10,736388.176748,2017
5.080000,10,736759.927361,2018
5.080000,10,737131.000000,2019
5.080000,10,737474.000044,2020
5.080000,11,NaN,2015
5.080000,11,735992.433881,2016
5.080000,11,736459.999597,2017
5.080000,11,736747.000002,2018
5.080000,11,737149.200138,2019
5.080000,11,737572.510892,2020
5.080000,12,NaN,2007
5.080000,12,733109.000000,2008
5.080000,12,733471.893935,2009
5.080000,12,733804.506095,2010
5.080000,12,734203.000000,2011
5.080000,12,734524.976722,2012
5.080000,12,735045.630434,2013
5.080000,12,735412.822047,2014
5.080000,12,735692.000000,2015
5.080000,12,735996.716322,2016
5.080000,13,736363.000000,2017
5.080000,13,736771.000000,2018
5.080000,13,737165.000000,2019
5.080000,14,735524.083389,2014
5.080000,14,735759.000000,2015
5.080000,14,736114.736162,2016
5.080000,14,736483.191489,2017
5.080000,14,736842.593495,2018
5.080000,14,NaN,2019
5.080000,14,737628.539469,2020
5.080000,15,NaN,2005
5.080000,15,732608.000734,2006
5.080000,15,733075.060323,2007
5.080000,15,733315.236452,2008
5.080000,15,733699.090058,2009
5.080000,15,NaN,2010
5.080000,15,734338.000003,2011
5.080000,15,734866.000000,2012
5.080000,15,735164.737442,2013
5.080000,15,735507.289055,2014
5.080000,17,735668.550120,2015
5.080000,17,736003.170975,2016
