depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730625.000000,2001
5.080000,1,NaN,2002
5.080000,1,731387.000000,2003
5.080000,2,NaN,2004
5.080000,2,732085.000000,2005
5.080000,2,NaN,2006
5.080000,2,732778.000000,2007
5.080000,2,NaN,2008
5.080000,2,733570.000000,2009
5.080000,2,733939.000000,2010
5.080000,2,734303.000000,2011
5.080000,2,734651.000000,2012
5.080000,2,NaN,2013
5.080000,2,735408.000000,2014
5.080000,2,NaN,2015
5.080000,2,NaN,2016
5.080000,2,736523.000000,2017
5.080000,2,NaN,2018
5.080000,2,737170.000000,2019
5.080000,3,735983.000000,2016
5.080000,3,736194.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,732890.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,734100.000000,2011
5.080000,4,NaN,2012
5.080000,4,734729.000000,2013
5.080000,4,NaN,2014
5.080000,4,735551.000000,2015
5.080000,4,NaN,2016
5.080000,4,736226.000000,2017
5.080000,5,NaN,2001
5.080000,5,730765.000000,2001
5.080000,5,NaN,2002
5.080000,5,731557.000000,2003
5.080000,5,NaN,2004
5.080000,5,732197.000000,2005
5.080000,9,NaN,2008
5.080000,9,733450.000000,2009
5.080000,9,733686.000000,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,734766.000000,2013
5.080000,9,NaN,2014
5.080000,9,735423.000000,2015
5.080000,9,735920.000000,2016
5.080000,9,736322.000000,2017
5.080000,9,736562.000000,2018
5.080000,9,NaN,2019
5.080000,9,737353.000000,2020
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,NaN,2010
5.080000,10,NaN,2011
5.080000,10,NaN,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,735450.000000,2015
5.080000,10,735836.000000,2016
5.080000,10,736207.000000,2017
5.080000,10,736564.000000,2018
5.080000,10,737025.000000,2019
5.080000,10,737322.000000,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,736197.000000,2017
5.080000,11,736607.000000,2018
5.080000,11,737054.000000,2019
5.080000,11,737354.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,733440.000000,2009
5.080000,12,NaN,2010
5.080000,12,NaN,2011
5.080000,12,734493.000000,2012
5.080000,12,734938.000000,2013
5.080000,12,735130.000000,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,736355.000000,2017
5.080000,13,736563.000000,2018
5.080000,13,736938.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,NaN,2016
5.080000,14,736225.000000,2017
5.080000,14,736624.000000,2018
5.080000,14,736947.000000,2019
5.080000,14,NaN,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732741.000000,2007
5.080000,15,NaN,2008
5.080000,15,733519.000000,2009
5.080000,15,NaN,2010
5.080000,15,734260.000000,2011
5.080000,15,NaN,2012
5.080000,15,NaN,2013
5.080000,15,735373.000000,2014
5.080000,17,NaN,2014
5.080000,17,NaN,2015
5.080000,17,735921.000000,2016
5.080000,17,736229.000000,2017
5.080000,17,736678.000000,2018
5.080000,17,737054.000000,2019
5.080000,17,737355.000000,2020
5.080000,19,NaN,2013
5.080000,19,735444.000000,2014
5.080000,21,NaN,2008
5.080000,21,NaN,2009
5.080000,21,733702.000000,2010
5.080000,21,734127.000000,2011
5.080000,21,734382.000000,2012
5.080000,21,NaN,2013
5.080000,21,NaN,2014
5.080000,21,NaN,2015
5.080000,21,NaN,2016
5.080000,21,NaN,2017
5.080000,21,736613.000000,2018
5.080000,21,NaN,2019
5.080000,21,NaN,2020
5.080000,22,NaN,2008
5.080000,22,NaN,2009
5.080000,22,NaN,2010
5.080000,22,NaN,2011
5.080000,22,734382.000000,2012
5.080000,22,NaN,2013
5.080000,22,NaN,2014
5.080000,22,NaN,2015
5.080000,22,735815.000000,2016
5.080000,22,736269.000000,2017
5.080000,22,NaN,2018
5.080000,22,NaN,2019
5.080000,22,NaN,2020
5.080000,24,NaN,2012
5.080000,24,NaN,2013
5.080000,24,735411.000000,2014
5.080000,24,NaN,2015
5.080000,24,NaN,2016
5.080000,24,736671.000000,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730522.000000,2001
5.080000,25,730907.000000,2002
5.080000,25,731250.000000,2003
5.080000,25,731640.000000,2004
5.080000,26,NaN,2005
5.080000,26,732315.000000,2006
5.080000,26,732636.000000,2007
5.080000,26,NaN,2008
5.080000,26,NaN,2009
5.080000,26,NaN,2010
5.080000,26,NaN,2011
5.080000,26,734563.000000,2012
5.080000,26,734888.000000,2013
5.080000,26,NaN,2014
5.080000,26,NaN,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,736727.000000,2018
5.080000,26,736938.000000,2019
5.080000,27,NaN,2011
5.080000,27,734376.000000,2012
5.080000,27,734831.000000,2013
5.080000,27,735092.000000,2014
5.080000,27,NaN,2015
5.080000,27,735955.000000,2016
5.080000,27,NaN,2017
5.080000,27,NaN,2018
5.080000,27,737026.000000,2019
5.080000,27,NaN,2020
5.080000,28,NaN,2007
5.080000,28,733332.000000,2008
5.080000,28,NaN,2009
5.080000,28,NaN,2010
5.080000,28,734295.000000,2011
5.080000,28,734767.000000,2012
5.080000,28,735108.000000,2013
5.080000,28,NaN,2014
5.080000,28,735794.000000,2015
5.080000,28,736228.000000,2016
5.080000,28,736493.000000,2017
5.080000,28,736887.000000,2018
5.080000,28,737321.000000,2019
5.080000,29,NaN,2011
5.080000,29,734420.000000,2012
5.080000,29,734847.000000,2013
5.080000,29,NaN,2014
5.080000,29,735624.000000,2015
5.080000,29,735852.000000,2016
5.080000,29,NaN,2017
5.080000,29,736555.000000,2018
5.080000,29,736935.000000,2019
5.080000,29,NaN,2020
5.080000,30,NaN,2010
5.080000,30,734400.000000,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
