depth,sid,value,WY
5.080000,1,730621.000000,2001
5.080000,1,730973.000000,2001
5.080000,1,NaN,2002
5.080000,1,731709.000000,2003
5.080000,2,732085.000000,2004
5.080000,2,732413.000000,2005
5.080000,2,NaN,2006
5.080000,2,733194.000000,2007
5.080000,2,NaN,2008
5.080000,2,733810.000000,2009
5.080000,2,734265.000000,2010
5.080000,2,734579.000000,2011
5.080000,2,734990.000000,2012
5.080000,2,735334.000000,2013
5.080000,2,735699.000000,2014
5.080000,2,NaN,2015
5.080000,2,736471.000000,2016
5.080000,2,736767.000000,2017
5.080000,2,NaN,2018
5.080000,2,737566.000000,2019
5.080000,3,736135.000000,2016
5.080000,3,NaN,2017
5.080000,3,736882.000000,2018
5.080000,4,732487.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,734254.000000,2011
5.080000,4,734602.000000,2012
5.080000,4,735046.000000,2013
5.080000,4,735448.000000,2014
5.080000,4,NaN,2015
5.080000,4,736206.000000,2016
5.080000,4,736506.000000,2017
5.080000,5,730597.000000,2001
5.080000,5,731010.000000,2001
5.080000,5,NaN,2002
5.080000,5,731774.000000,2003
5.080000,5,732066.000000,2004
5.080000,5,732493.000000,2005
5.080000,9,NaN,2008
5.080000,9,733532.000000,2009
5.080000,9,733934.000000,2010
5.080000,9,NaN,2011
5.080000,9,734715.000000,2012
5.080000,9,735136.000000,2013
5.080000,9,NaN,2014
5.080000,9,735738.000000,2015
5.080000,9,736201.000000,2016
5.080000,9,736566.000000,2017
5.080000,9,736844.000000,2018
5.080000,9,737203.000000,2019
5.080000,9,737669.000000,2020
5.080000,10,NaN,2008
5.080000,10,733531.000000,2009
5.080000,10,733912.000000,2010
5.080000,10,734295.000000,2011
5.080000,10,NaN,2012
5.080000,10,735016.000000,2013
5.080000,10,NaN,2014
5.080000,10,735822.000000,2015
5.080000,10,736133.000000,2016
5.080000,10,736476.000000,2017
5.080000,10,736824.000000,2018
5.080000,10,737213.000000,2019
5.080000,10,737637.000000,2020
5.080000,11,NaN,2015
5.080000,11,736060.000000,2016
5.080000,11,736488.000000,2017
5.080000,11,736886.000000,2018
5.080000,11,737202.000000,2019
5.080000,11,737649.000000,2020
5.080000,12,NaN,2007
5.080000,12,733181.000000,2008
5.080000,12,733582.000000,2009
5.080000,12,733928.000000,2010
5.080000,12,NaN,2011
5.080000,12,734710.000000,2012
5.080000,12,735052.000000,2013
5.080000,12,735417.000000,2014
5.080000,12,735783.000000,2015
5.080000,13,NaN,2016
5.080000,13,736484.000000,2017
5.080000,13,736850.000000,2018
5.080000,13,737206.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,736153.000000,2016
5.080000,14,736484.000000,2017
5.080000,14,736857.000000,2018
5.080000,14,737216.000000,2019
5.080000,14,737648.000000,2020
5.080000,15,NaN,2005
5.080000,15,732661.000000,2006
5.080000,15,732941.000000,2007
5.080000,15,733318.000000,2008
5.080000,15,733729.000000,2009
